Video_ID,Title,Linked_Product,Primary_Keyword,Secondary_Keywords,Scripture,Prayer_Link,Playlist,Keyword_Research,SEO,Thumbnail,Upload,End_Screen,Playlist_Assigned,Product_Links,Scripture_Refs,Prayer_Links,Status
WOW-CH12-VIDEO,Still Living With Rods - Whose Report Will You Believe,WOW-CH12-BUNDLE,,,Isaiah 53:5,,WOW Teaching,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,In Progress
EDU10-VIDEO,Faith Over Fear,EDU10,,,2 Timothy 1:7,,Prayer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,In Progress
